Transaction Date,Post Date,Description,Category,Subcategory,Type,Amount,Memo
11/29/2025,,"SQ *THE CANVAS, ITS FIRE!",Food & Drink,,Sale,-$22.52,
11/29/2025,,CULVERS KINGMAN AIRWAY   ,Food & Drink,,Sale,-$12.52,
11/26/2025,,WM SUPERCENTER #2051     928-692-0555 AZ,Groceries,,Sale,-$80.07,
11/25/2025,,"SQ *THE CANVAS, ITS FIRE!",Food & Drink,,Sale,-$16.21,
11/24/2025,11/25/2025,APPLE.COM/BILL,Entertainment,,Sale,-$16.19,
11/24/2025,,Patreon* Membership      Internet     CA,Entertainment,,Sale,-$4.82,
11/23/2025,11/25/2025,AUTOZONE #1912,Automotive,,Return,$39.58,
11/23/2025,11/25/2025,AUTOZONE #1912,Automotive,,Return,$39.58,
11/23/2025,,WM SUPERCENTER #2051     928-692-0555 AZ,Groceries,,Sale,-$45.84,
11/23/2025,,PAYMENT - THANK YOU,Payment,,Payment,"$1,051.70",
11/22/2025,,SAFEWAY #2017            ,Groceries,,Sale,-$18.93,
11/21/2025,,BEALE STREET THEATER     WWW.KINGMANARAZ,Entertainment,,Sale,-$16.55,
11/21/2025,,SQ *FLOYD & COMPANY WOOD-gosq.com     AZ,Food & Drink,,Sale,-$6.04,
11/19/2025,11/20/2025,APPLE.COM/BILL,Entertainment,,Sale,-$3.23,
11/19/2025,,WAL-MART #2051           ,Groceries,,Sale,-$20.57,
11/19/2025,,McDonalds 33234          ,Food & Drink,,Sale,-$21.02,
11/18/2025,,IN-N-OUT KINGMAN         ,Food & Drink,,Sale,-$15.38,
11/17/2025,,WL *Steam Purchase       425-9522985  WA,Entertainment,,Sale,-$14.58,
11/17/2025,,WL *Steam Purchase       425-9522985  WA,Entertainment,,Return,$14.58,
11/16/2025,,STAPLES       00113886   ,Shopping,,Sale,-$75.66,
11/16/2025,,STAPLES       00113886   ,Shopping,,Return,$64.85,
11/16/2025,,WAL-MART #2051           ,Groceries,,Sale,-$45.22,
11/16/2025,,PROGRESSIVE *INSURANCE   800-776-4737 OH,Bills & Utilities,,Sale,-$825.50,
11/16/2025,,PAYMENT - THANK YOU,Payment,,Payment,$41.35,
11/14/2025,,STAPLES       00113886   ,Shopping,,Sale,-$64.85,
11/14/2025,,WAL-MART #2051           ,Groceries,,Sale,-$42.31,
11/14/2025,,PAYMENT - THANK YOU,Payment,,Payment,$149.00,
11/13/2025,11/13/2025,Payment Thank You - Web,Payment,,Payment,$660.58,
11/13/2025,,WAL-MART #2051           ,Groceries,,Sale,-$26.65,
11/13/2025,,"SQ *THE CANVAS, ITS FIRE!",Food & Drink,,Sale,-$14.70,
11/12/2025,11/12/2025,VISIBLE,Bills & Utilities,,Sale,-$45.00,
11/11/2025,11/12/2025,WAL-MART #2051,Health & Wellness,,Sale,-$4.00,
11/11/2025,11/12/2025,BIG 5 SPORTING GOODS 3,Shopping,,Sale,-$101.59,
11/11/2025,11/12/2025,WAL-MART #2051,Shopping,,Sale,-$85.79,
11/11/2025,11/11/2025,CCDOA LAS AIRPORT,Travel,,Sale,-$144.00,
11/10/2025,11/12/2025,CHICK-FIL-A #03021,Food & Drink,,Sale,-$15.56,
11/10/2025,11/12/2025,CASEYS #2776,Food & Drink,,Sale,-$6.42,
11/10/2025,11/11/2025,Scooters Coffee,Food & Drink,,Sale,-$14.55,
11/10/2025,11/12/2025,CASEYS #2760,Travel,,Sale,-$44.06,
11/10/2025,11/11/2025,CID FLYZONE 6781053,Travel,,Sale,-$40.06,
11/09/2025,11/10/2025,AUTOZONE #5162,Automotive,,Sale,-$196.85,
11/09/2025,11/11/2025,PINK CLOUD SMOKE SHOP,Entertainment,,Sale,-$20.59,
11/09/2025,11/11/2025,CASEYS #3562,Food & Drink,,Sale,-$19.25,
11/09/2025,11/11/2025,CASEYS #2919,Food & Drink,,Sale,-$6.42,
11/09/2025,11/11/2025,STARBUCKS,Food & Drink,,Sale,-$8.56,
11/09/2025,11/10/2025,Scooters Coffee,Food & Drink,,Sale,-$7.65,
11/09/2025,11/11/2025,KWIK STAR #947,Travel,,Sale,-$35.28,
11/09/2025,11/09/2025,Payment Thank You - Web,Payment,,Payment,"$2,459.98",
11/08/2025,11/09/2025,GOOGLE *YouTubePremium,Bills & Utilities,,Sale,-$24.85,
11/08/2025,11/09/2025,GOOGLE *Google One,Bills & Utilities,,Sale,-$21.61,
11/08/2025,11/10/2025,SHELL OIL12861343023,Travel,,Sale,-$32.79,
11/08/2025,11/10/2025,QT 7251 INSIDE,Travel,,Sale,-$3.98,
